1,A paper strip based rapid and simple method for identifying bacterial pathogen,Water Tech,Sabari
2,A model waste management (Black water) in Uttarakhand,Water Tech,Sabari
3,International Center For Clean Water,Water Tech,Sabari
4,Sustainable water and energy management in agricultural activities,Water Tech,Sabari
5,Providing Drinking Water in Indian Villages,Water Tech,Sabari
6,Healthy' reverse osmosis water using sustainable metal ion release,Water Tech,Sabari
7,Urban Lake Integration for Water Utilization and Recreation,Water Tech,Sabari
8,Micro pollutants in Urban Water Bodies: Creation of a Database for Sustainable,Water Tech,Sabari
9,A Sustainable Community Solar Thermal Atmospheric Water System for Rural India,Water Tech,Sabari
10,Sustainable Hybrid Water Systems,Water Tech,Sabari
11,Ensuring water security in the Gadana and Ramanadhiriver basins through improved,Water Tech,Sabari
12,Capacity Building of English Teachers for Teaching SoftSkills in Chennai College,Edu and Entrepreneurship,Sabari
13,Theoretical Physics Seminar Series,Edu and Entrepreneurship,Sabari
14,eveloping a Vocal Work Culture among Women in the Workforce,Edu and Entrepreneurship,Sabari
15,Modernised and Eco-Friendly Educational Infrastructure for Campus Community Children,Edu and Entrepreneurship,Sabari
16,Women and their well being at Subsistence Marketplaces,Edu and Entrepreneurship,Sabari
17,Fostering Women Entrepreneurship and sustainable innovation,Edu and Entrepreneurship,Sabari
18,NIRMAAN: Experience Entrepreneurship,Edu and Entrepreneurship,Sabari
19,Reimagining Chindia: cultural-diplomatic contacts between Kerala and China,Edu and Entrepreneurship,Sabari
20,The Kenyon ? IIT Madras Writing Workshop,Edu and Entrepreneurship,Sabari
21,andhian Thought in Contemporary Times - Annual Seminar,Edu and Entrepreneurship,Sabari
22,Partnerships in tertiary education and research (PITER),Edu and Entrepreneurship,Sabari
23,Programme to Inspire School Students to take up Science as their Career,Edu and Entrepreneurship,Sabari
24,Center for Social Innovation and Entrepreneurship,Edu and Entrepreneurship,Sabari
25,National Program on Technology Enhanced Learning (NPTEL),Edu and Entrepreneurship,Sabari
26,Promotion of Education and Employability through Enhancing English LanguageSkill,Edu and Entrepreneurship,Sabari
27,"Promotion of social entrepreneurship among schools, higher institutions",Edu and Entrepreneurship,Sabari
28,Proposal for Named Endowment towards Student Scholarships,Edu and Entrepreneurship,Sabari
29,Enhancing the Success Potential of the Marginal And Micro Entrepreneurs,Edu and Entrepreneurship,Sabari
30,Train the Trainer Programs on Entrepreneurship For Polytechnic And ITI Faculty,Edu and Entrepreneurship,Sabari
31,Creating a Ripple: Through Holistic Education,Edu and Entrepreneurship,Sabari
32,Closed-loop recycling of waste concrete using solar energy,Energy,Keshav
33,Capture and Conversion of CO2 Gas from Automobile I.C. Engine Exhaust Gases,Energy,Keshav
34,Design and Development of Vertical Axis Wind Turbine for Rural applications,Energy,Keshav
35,Indigenous design and development of white light emitting diodes,Energy,Keshav
36,Solar Powered Carbon Dioxide Conversion to Value-added Chemicals,Energy,Keshav
37,Center for Industrial Assessment at IIT Madras -Enhanced energy utilisation,Energy,Keshav
38,Cent percent renewable energy for Indian Islands,Energy,Keshav
39,Wave energy for the coastal people,Energy,Keshav
40,Human Powered Fridge,Energy,Keshav
41,Inverterless Solar System for Off Grid Areas in India,Energy,Keshav
42,Bio Inspired Long Tem/Large Scale information Archiving Mechanism,Innovation,Keshav
43,Developing Scientific Instruments,Innovation,Keshav
44,Establishment Of A Sheet Metal Formability Test Facility To Address Manufacturing Problems,Innovation,Keshav
45,Proposal for Asset Creation using CSR Fund,Innovation,Keshav
46,Development of tubular proton exchange membrane fuel cells,Innovation,Keshav
47,Ground Penetrating Radar (GPR),Innovation,Keshav
48,Computational Aspects of Classical Music,Innovation,Keshav
49,Arm Rehabilitation Robot for Shoulder and Elbow Training,Innovation,Keshav
50,Design and development of sit-to-stand mobility aid,Innovation,Keshav
51,Noise Analysis of CTBTO Stations to Study Whale Migrations in the Indian Ocean,Innovation,Keshav
52,Five Finger Perturbation System,Innovation,Keshav
53,Compact Robotic Vehicle (CRV) for Sewer line and Septic tank inspection,Innovation,Keshav
54,Replicating Centre For Innovation(CFI) in engineering institutions in Tamil Nadu,Innovation,Keshav
55,Technology Incubator and Research,Innovation,Keshav
56,Towards an Indian Cultural Studies,Heritage,Keshav
57,Business Development and Livelihood enhancement of Pathamadai weavers community,Heritage,Keshav
58,"Assessment of Materials in Heritage Structures, and Selection of Modern Material",Heritage,Keshav
59,"Advanced Design, Materials and Manufacturing Concepts for Light Weighting",Research Centers,Keshav
60,Centre for Metal Additive Manufacturing,Research Centers,Keshav
61,Belle II: an Indo-Japan collaboration to search for new physics,Research Centers,Keshav
62,Beneficial utilization of Agricultural Waste,Agri and Farm,Shasha
63,Detection of Salinity,Agri and Farm,Shasha
64,Sustainability of FPO,Agri and Farm,Shasha
65,Lac production prototype,Agri and Farm,Shasha
66,Shredding agricultural waste biomass,Agri and Farm,Shasha
67,Design of cold press oil expeller,Agri and Farm,Shasha
