7,7,2,7.5,7.5,7
6,5,1,4,5,5
5,4,1,4,4,5
3.5,3.5,0,5,3,4
6,5,1,4,6,5
7.5,5,2,8,7,8
6,6,1,5.5,7,5
6,5,4,4,6,7
7,7.5,1,3,9,6
6.5,5.5,1,4,7,6
7.5,6.5,2,6.5,7.5,6
6.25,5.5,1,3,5,4
6.75,6,1,6,7,5
6.5,6.2,1,4,7,5
7.5,6,1.5,5,6.5,6.2
7,6,1,6.5,7.2,2
7,7,2,5,7.5,3
5.5,7.5,7.5,5.5,5,3.5
7,6.8,7,5.5,7.5,7
7.5,7,2,7,8.5,7
7.5,7,2,7,7.2,8.2
7.5,8,2,5.8,7,3
7.2,8.5,5,7.5,6.5,4
6.8,6.8,2,5,6.5,2.5
6.5,7.2,2,5,6.7,2.5
7,7.2,1,5,7,3.2
7.5,7.8,2,6.5,7.5,8
7.5,6.5,2,5.8,7.5,9
6.7,6.5,2,6,6.8,6.5
7.5,7.2,5,7.8,7.2,7.5
8,7,2,7,7.8,7.5
7.5,6.5,1,6.5,7.3,7.5
7.5,8,1,3,7,5
